floor,county,fips,radon,log_radon,uranium,log_uranium,county_id
1,AITKIN              ,27001,2.2,0.7884573603642703,0.502054,-0.6890475953544999,1
0,AITKIN              ,27001,2.2,0.7884573603642703,0.502054,-0.6890475953544999,1
0,AITKIN              ,27001,2.9,1.0647107369924282,0.502054,-0.6890475953544999,1
0,AITKIN              ,27001,1.0,0.0,0.502054,-0.6890475953544999,1
0,ANOKA               ,27003,3.1,1.1314021114911006,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.5,0.9162907318741551,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.5,0.4054651081081644,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.0,0.0,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,0.7,-0.35667494393873245,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.2,0.1823215567939546,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.2,0.1823215567939546,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.3,0.26236426446749106,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.4,0.3364722366212129,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,0.4,-0.916290731874155,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.1,0.09531017980432493,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,4.5,1.5040773967762742,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.3,0.26236426446749106,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.1,0.7419373447293773,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,5.9,1.7749523509116738,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,3.3,1.1939224684724346,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.8,0.5877866649021191,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,5.4,1.6863989535702288,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,6.3,1.840549633397487,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.9,0.6418538861723947,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,6.6,1.8870696490323797,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,3.1,1.1314021114911006,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,6.8,1.916922612182061,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,7.0,1.9459101490553132,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,7.7,2.0412203288596382,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,5.2,1.6486586255873816,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,4.5,1.5040773967762742,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,4.4,1.4816045409242156,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.8,1.0296194171811581,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,8.1,2.0918640616783932,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.6,0.47000362924573563,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,4.2,1.4350845252893227,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,5.4,1.6863989535702288,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,4.0,1.3862943611198906,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.3,0.8329091229351039,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.9,1.0647107369924282,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.4,0.3364722366212129,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,3.3,1.1939224684724346,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.9,1.0647107369924282,0.428565,-0.8473128604997048,2
1,ANOKA               ,27003,1.8,0.5877866649021191,0.428565,-0.8473128604997048,2
1,ANOKA               ,27003,0.2,-1.6094379124341003,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.4,0.8754687373538999,0.428565,-0.8473128604997048,2
1,ANOKA               ,27003,1.1,0.09531017980432493,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.2,0.7884573603642703,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,0.6,-0.5108256237659907,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.7,0.5306282510621704,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.9,1.0647107369924282,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,2.2,0.7884573603642703,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.7,0.5306282510621704,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.4,0.3364722366212129,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.9,0.6418538861723947,0.428565,-0.8473128604997048,2
0,ANOKA               ,27003,1.8,0.5877866649021191,0.428565,-0.8473128604997048,2
1,BECKER              ,27005,1.2,0.1823215567939546,0.892741,-0.11345877376814012,3
0,BECKER              ,27005,4.3,1.4586150226995167,0.892741,-0.11345877376814012,3
1,BECKER              ,27005,4.5,1.5040773967762742,0.892741,-0.11345877376814012,3
0,BELTRAMI            ,27007,6.3,1.840549633397487,0.552472,-0.5933525256074713,4
0,BELTRAMI            ,27007,4.6,1.5260563034950492,0.552472,-0.5933525256074713,4
0,BELTRAMI            ,27007,5.7,1.7404661748405046,0.552472,-0.5933525256074713,4
